id,priority,cluster,title,primary_keyword,secondary_keywords,search_intent,target_space_types,doripe_angle,cta_strength,internal_links
B2B079,P2,공간 브랜딩/분위기,인테리어는 예쁜데 브랜드 기억이 남지 않는 공간의 문제,공간 브랜딩,매장 인테리어 마케팅|브랜드 기억|공간 차별화,problem solving,샵|카페|스튜디오,예쁨보다 저장되는 고유 장면을 정의,light,사진/콘텐츠 소재|리뷰/저장/방문 전환|신규 손님 유입
B2B080,P2,공간 브랜딩/분위기,메뉴와 공간 톤이 따로 노는 매장이 맞춰야 할 기준,매장 톤앤매너,공간 콘셉트|메뉴 브랜딩|로컬 공간,problem solving,식당|바|카페,경험 전체가 하나의 저장 이유로 보이게 정렬,light,사진/콘텐츠 소재|인스타/숏폼 운영|리뷰/저장/방문 전환
B2B081,P2,공간 브랜딩/분위기,조용한 공간을 홍보할 때 과장 없이 매력을 전달하는 법,조용한 공간 홍보,분위기 마케팅|공간 소개|로컬 브랜딩,how-to,서점|갤러리|공방,과장된 표현 대신 방문 상황 중심으로 저장 가치 제안,light,신규 손님 유입|사진/콘텐츠 소재|네이버 플레이스/지도
B2B082,P2,공간 브랜딩/분위기,힙하다는 말만으로는 부족한 로컬 공간의 차별화 문장,로컬 공간 차별화,힙한 매장 홍보|브랜드 메시지|공간 소개,informational,바|샵|팝업,모호한 수식어를 실제 저장 이유로 바꾸는 방식,light,인스타/숏폼 운영|신규 손님 유입|사진/콘텐츠 소재
B2B083,P2,공간 브랜딩/분위기,오래된 공간이 낡아 보이지 않고 깊이 있어 보이게 만드는 콘텐츠,오래된 가게 브랜딩,로컬 스토리텔링|공간 역사|콘텐츠 마케팅,how-to,식당|서점|로컬 공간,시간의 축적을 저장 가치와 신뢰 단서로 표현,light,재방문/단골/커뮤니티|사진/콘텐츠 소재|신규 손님 유입
B2B084,P2,공간 브랜딩/분위기,작가와 브랜드가 함께 쓰는 공간의 정체성을 흐리지 않는 법,복합 공간 브랜딩,공간 큐레이션|갤러리 운영|팝업 공간,how-to,갤러리|팝업|전시공간,여러 주체의 정보를 하나의 저장 경험으로 정리,light,사진/콘텐츠 소재|인스타/숏폼 운영|네이버 플레이스/지도
B2B085,P2,공간 브랜딩/분위기,친절함이 강점인 공간이 온라인에서 그 느낌을 전하는 법,친절한 매장 홍보,고객 경험 브랜딩|서비스 콘텐츠|리뷰 활용,how-to,식당|공방|샵,리뷰와 안내 문구로 사람의 온도를 저장 가능하게 표현,light,리뷰/저장/방문 전환|재방문/단골/커뮤니티|사진/콘텐츠 소재
B2B086,P2,공간 브랜딩/분위기,공간 콘셉트를 바꾸기 전 기존 고객이 혼란스럽지 않게 알리는 법,공간 리브랜딩,매장 콘셉트 변경|브랜드 전환|고객 커뮤니케이션,how-to,카페|바|스튜디오,기존 저장 이유와 새 방문 이유를 이어서 설명,light,재방문/단골/커뮤니티|인스타/숏폼 운영|네이버 플레이스/지도
B2B087,P2,공간 브랜딩/분위기,로컬 공간이 자기소개를 길게 쓰지 않아도 기억되는 구조,공간 소개 문구,매장 자기소개|브랜드 소개|로컬 마케팅,how-to,전시공간|서점|카페,공간 카드처럼 핵심 상황과 분위기를 짧게 구조화,light,신규 손님 유입|네이버 플레이스/지도|사진/콘텐츠 소재
B2B089,P2,재방문/단골/커뮤니티,단골에게만 통하는 공지가 신규 손님을 막을 때,단골 공지,매장 커뮤니티|신규 고객 배려|SNS 운영,problem solving,바|공방|샵,커뮤니티 언어를 처음 보는 사람도 저장 가능하게 풀기,light,신규 손님 유입|인스타/숏폼 운영|공간 브랜딩/분위기
B2B090,P2,재방문/단골/커뮤니티,멤버십 없이도 재방문을 늘리는 작은 약속 만들기,멤버십 없이 재방문,단골 전략|고객 관계|로컬 매장 운영,how-to,카페|식당|스튜디오,저장한 고객이 기대할 반복 경험을 명확히 남기기,light,리뷰/저장/방문 전환|사진/콘텐츠 소재|공간 브랜딩/분위기
B2B091,P2,재방문/단골/커뮤니티,클래스와 모임을 열어도 커뮤니티가 쌓이지 않을 때,공간 커뮤니티 운영,클래스 운영|로컬 모임|재방문 프로그램,problem solving,공방|서점|갤러리,일회성 참여를 저장과 다음 모임 발견으로 연결,light,인스타/숏폼 운영|리뷰/저장/방문 전환|사진/콘텐츠 소재
B2B092,P2,재방문/단골/커뮤니티,단골 이벤트가 할인 행사처럼 보일 때 바꿀 메시지,단골 이벤트,재방문 이벤트|고객 감사|매장 운영,problem solving,식당|바|샵,혜택보다 관계와 경험이 저장되게 메시지 재구성,light,공간 브랜딩/분위기|인스타/숏폼 운영|리뷰/저장/방문 전환
B2B093,P2,재방문/단골/커뮤니티,로컬 손님과 멀리서 오는 손님의 재방문 이유가 다를 때,재방문 이유,고객 세분화|로컬 고객|방문 동기,informational,전시공간|카페|팝업,방문 거리별 저장 동기를 나눠 콘텐츠에 반영,light,신규 손님 유입|사진/콘텐츠 소재|Doripe 리포트/케이스
B2B094,P2,재방문/단골/커뮤니티,조용한 단골을 온라인 커뮤니티로 끌어내지 않고 관계를 유지하는 법,조용한 단골 관리,고객 관계|재방문 소통|로컬 커뮤니티,how-to,서점|공방|로컬 공간,노출보다 저장과 사적인 재방문 루틴을 존중,light,리뷰/저장/방문 전환|공간 브랜딩/분위기|인스타/숏폼 운영
B2B095,P2,재방문/단골/커뮤니티,시즌마다 다시 찾는 공간이 되려면 기록해야 할 것,시즌 재방문,계절 단골|매장 기록|고객 경험,how-to,카페|갤러리|식당,계절별 저장 기억을 누적해 재방문 이유로 만들기,light,사진/콘텐츠 소재|인스타/숏폼 운영|리뷰/저장/방문 전환
B2B097,P2,Doripe 리포트/케이스,로컬 공간 카드에서 사람들이 먼저 확인하는 정보,Doripe 공간 카드,공간 정보|방문 전 확인|로컬 마케팅,informational,샵|서점|공방,Doripe 공간 카드 구조를 사례로 정보 우선순위를 제안,medium,네이버 플레이스/지도|사진/콘텐츠 소재|리뷰/저장/방문 전환
B2B098,P2,Doripe 리포트/케이스,카페가 아니어도 저장되는 공간의 공통점,Doripe 로컬 공간,저장되는 공간|공간 발견|로컬 브랜딩,informational,바|갤러리|전시공간,Doripe에서 다양한 업종이 저장되는 이유를 가볍게 분석,medium,공간 브랜딩/분위기|사진/콘텐츠 소재|신규 손님 유입
B2B099,P2,Doripe 리포트/케이스,방문 전 망설임을 줄이는 공간 정보의 최소 조건,Doripe 방문 전환,공간 정보 설계|저장 후 방문|로컬 SEO,informational,식당|스튜디오|팝업,Doripe 저장 이후 방문까지 필요한 정보 조건을 정리,medium,리뷰/저장/방문 전환|네이버 플레이스/지도|신규 손님 유입
